PreMean,Pre_SD,PostMean,Post_SD
,,,
,,,
,,,
,,,
3.1,0.6,2,0.38
3.1,0.7,1.4,0.38
,,,
,,,
1.33,,0.86,0.38
1.4,,1.13,0.38
,,,
,,,
,,,
,,,
,,,
2.8,0.43,1.71,0.42
2.71,0.21,1.77,0.47
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1.8,0.5,,
1,0.5,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2.73,0.64,,
2.75,0.66,,
2.3,0.2,2.3,0.1
2.2,0.4,2.5,0.2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2.41,0.29,1.89,0.38
2.33,0.62,1.66,0.55
2.5,0.6,,
2.3,0.5,,
,,,
,,,
,,,
3.07,0.39,1.97,0.23
2.93,0.46,1.75,0.14
2.06,0.65,1.06,0.37
2.21,0.77,1.2,0.49
,,,
,,,
2.2,0.6,2.3,0.6
2.3,0.8,2.3,0.8
2.1,0.5,2.2,0.7
2.6,1.1,1.1,0.3
2.4,0.6,1.3,0.4
,,,
,,,
,,,
,,,
1.85,0.18,1.05,0.11
1.81,0.16,1.19,0.1
,,,
,,,
,,,
,,,
,,,
,,,
2.2,0.5,1.4,0.4
2,0.5,1.9,0.5
2.1,0.5,2.2,0.5
2,0.6,2,0.6
2.1,0.6,,
2.3,0.7,,
,,,
,,,
2.8,0.8,1.7,0.38
2.9,0.7,1.8,0.38
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2.7,0.77,1.09,0.37
2.6,0.7,0.89,0.25
2.5,0.62,1.07,0.25
1.07,0.37,1.26,0.61
1.18,0.25,1.31,0.35
2.18,0.92,1.59,0.55
1.96,0.6,1.42,0.43
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2.18,0.81,,
1.78,0.71,,
1.98,0.54,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
2.46,0.2,2.38,0.10
2.27,0.2,1.68,0.10
